GEOID,year,species,head_count,mean_density,cell_count
17153,2015,5_Bf_2015_Da,,,0
17185,2015,5_Bf_2015_Da,,,0
17161,2015,5_Bf_2015_Da,,,0
17097,2015,5_Bf_2015_Da,,,0
18129,2015,5_Bf_2015_Da,,,0
18061,2015,5_Bf_2015_Da,,,0
18089,2015,5_Bf_2015_Da,,,0
18161,2015,5_Bf_2015_Da,,,0
18177,2015,5_Bf_2015_Da,,,0
19163,2015,5_Bf_2015_Da,,,0
19063,2015,5_Bf_2015_Da,,,0
19149,2015,5_Bf_2015_Da,,,0
20131,2015,5_Bf_2015_Da,,,0
01043,2015,5_Bf_2015_Da,,,0
01121,2015,5_Bf_2015_Da,,,0
21101,2015,5_Bf_2015_Da,,,0
01087,2015,5_Bf_2015_Da,,,0
21195,2015,5_Bf_2015_Da,,,0
01033,2015,5_Bf_2015_Da,,,0
01131,2015,5_Bf_2015_Da,,,0
01009,2015,5_Bf_2015_Da,,,0
21013,2015,5_Bf_2015_Da,,,0
21135,2015,5_Bf_2015_Da,,,0
22087,2015,5_Bf_2015_Da,,,0
22105,2015,5_Bf_2015_Da,,,0
22071,2015,5_Bf_2015_Da,,,0
22029,2015,5_Bf_2015_Da,,,0
01025,2015,5_Bf_2015_Da,,,0
22035,2015,5_Bf_2015_Da,,,0
22115,2015,5_Bf_2015_Da,,,0
22123,2015,5_Bf_2015_Da,,,0
22037,2015,5_Bf_2015_Da,,,0
23027,2015,5_Bf_2015_Da,,,0
01041,2015,5_Bf_2015_Da,,,0
01065,2015,5_Bf_2015_Da,,,0
23025,2015,5_Bf_2015_Da,0.0,0.0,11
24037,2015,5_Bf_2015_Da,,,0
24039,2015,5_Bf_2015_Da,,,0
24021,2015,5_Bf_2015_Da,,,0
24035,2015,5_Bf_2015_Da,,,0
24029,2015,5_Bf_2015_Da,,,0
25007,2015,5_Bf_2015_Da,,,0
25017,2015,5_Bf_2015_Da,,,0
26109,2015,5_Bf_2015_Da,,,0
26141,2015,5_Bf_2015_Da,,,0
27031,2015,5_Bf_2015_Da,0.0,0.0,17
27167,2015,5_Bf_2015_Da,,,0
27137,2015,5_Bf_2015_Da,0.0,0.0,18
27077,2015,5_Bf_2015_Da,0.0,0.0,8
27119,2015,5_Bf_2015_Da,,,0
27089,2015,5_Bf_2015_Da,,,0
27107,2015,5_Bf_2015_Da,,,0
28001,2015,5_Bf_2015_Da,,,0
28151,2015,5_Bf_2015_Da,,,0
28087,2015,5_Bf_2015_Da,,,0
28149,2015,5_Bf_2015_Da,,,0
28021,2015,5_Bf_2015_Da,,,0
28103,2015,5_Bf_2015_Da,,,0
28143,2015,5_Bf_2015_Da,,,0
29143,2015,5_Bf_2015_Da,,,0
29031,2015,5_Bf_2015_Da,,,0
29189,2015,5_Bf_2015_Da,,,0
29171,2015,5_Bf_2015_Da,,,0
29023,2015,5_Bf_2015_Da,,,0
29037,2015,5_Bf_2015_Da,,,0
30003,2015,5_Bf_2015_Da,,,0
30081,2015,5_Bf_2015_Da,,,0
30071,2015,5_Bf_2015_Da,0.0,0.0,2
30005,2015,5_Bf_2015_Da,0.0,0.0,5
30085,2015,5_Bf_2015_Da,,,0
30083,2015,5_Bf_2015_Da,,,0
31169,2015,5_Bf_2015_Da,,,0
32033,2015,5_Bf_2015_Da,,,0
33015,2015,5_Bf_2015_Da,,,0
33017,2015,5_Bf_2015_Da,,,0
34009,2015,5_Bf_2015_Da,,,0
34023,2015,5_Bf_2015_Da,,,0
34007,2015,5_Bf_2015_Da,,,0
35045,2015,5_Bf_2015_Da,,,0
35055,2015,5_Bf_2015_Da,,,0
36103,2015,5_Bf_2015_Da,,,0
36047,2015,5_Bf_2015_Da,,,0
36105,2015,5_Bf_2015_Da,,,0
13123,2015,5_Bf_2015_Da,,,0
13305,2015,5_Bf_2015_Da,,,0
13189,2015,5_Bf_2015_Da,,,0
13029,2015,5_Bf_2015_Da,,,0
13025,2015,5_Bf_2015_Da,,,0
13279,2015,5_Bf_2015_Da,,,0
13107,2015,5_Bf_2015_Da,,,0
13317,2015,5_Bf_2015_Da,,,0
13133,2015,5_Bf_2015_Da,,,0
13263,2015,5_Bf_2015_Da,,,0
13205,2015,5_Bf_2015_Da,,,0
13283,2015,5_Bf_2015_Da,,,0
13197,2015,5_Bf_2015_Da,,,0
13079,2015,5_Bf_2015_Da,,,0
13007,2015,5_Bf_2015_Da,,,0
15009,2015,5_Bf_2015_Da,,,0
16037,2015,5_Bf_2015_Da,,,0
16015,2015,5_Bf_2015_Da,,,0
18145,2015,5_Bf_2015_Da,,,0
18053,2015,5_Bf_2015_Da,,,0
18175,2015,5_Bf_2015_Da,,,0
18159,2015,5_Bf_2015_Da,,,0
19069,2015,5_Bf_2015_Da,,,0
19073,2015,5_Bf_2015_Da,,,0
19027,2015,5_Bf_2015_Da,,,0
19117,2015,5_Bf_2015_Da,,,0
20113,2015,5_Bf_2015_Da,,,0
20145,2015,5_Bf_2015_Da,,,0
20161,2015,5_Bf_2015_Da,,,0
21179,2015,5_Bf_2015_Da,,,0
21085,2015,5_Bf_2015_Da,,,0
21033,2015,5_Bf_2015_Da,,,0
21175,2015,5_Bf_2015_Da,,,0
21155,2015,5_Bf_2015_Da,,,0
21209,2015,5_Bf_2015_Da,,,0
21079,2015,5_Bf_2015_Da,,,0
21177,2015,5_Bf_2015_Da,,,0
21031,2015,5_Bf_2015_Da,,,0
21107,2015,5_Bf_2015_Da,,,0
21121,2015,5_Bf_2015_Da,,,0
21187,2015,5_Bf_2015_Da,,,0
21071,2015,5_Bf_2015_Da,,,0
21181,2015,5_Bf_2015_Da,,,0
21011,2015,5_Bf_2015_Da,,,0
21205,2015,5_Bf_2015_Da,,,0
21099,2015,5_Bf_2015_Da,,,0
21153,2015,5_Bf_2015_Da,,,0
21197,2015,5_Bf_2015_Da,,,0
21063,2015,5_Bf_2015_Da,,,0
22059,2015,5_Bf_2015_Da,,,0
22039,2015,5_Bf_2015_Da,,,0
22015,2015,5_Bf_2015_Da,,,0
22041,2015,5_Bf_2015_Da,,,0
22045,2015,5_Bf_2015_Da,,,0
22081,2015,5_Bf_2015_Da,,,0
22043,2015,5_Bf_2015_Da,,,0
22067,2015,5_Bf_2015_Da,,,0
22021,2015,5_Bf_2015_Da,,,0
23021,2015,5_Bf_2015_Da,,,0
51093,2015,5_Bf_2015_Da,,,0
51005,2015,5_Bf_2015_Da,,,0
51153,2015,5_Bf_2015_Da,,,0
51193,2015,5_Bf_2015_Da,,,0
51133,2015,5_Bf_2015_Da,,,0
51103,2015,5_Bf_2015_Da,,,0
51143,2015,5_Bf_2015_Da,,,0
51059,2015,5_Bf_2015_Da,,,0
53055,2015,5_Bf_2015_Da,,,0
53035,2015,5_Bf_2015_Da,,,0
53011,2015,5_Bf_2015_Da,,,0
53045,2015,5_Bf_2015_Da,,,0
53053,2015,5_Bf_2015_Da,0.0,0.0,1
53075,2015,5_Bf_2015_Da,,,0
53019,2015,5_Bf_2015_Da,0.0,0.0,9
54099,2015,5_Bf_2015_Da,,,0
54059,2015,5_Bf_2015_Da,,,0
54063,2015,5_Bf_2015_Da,,,0
54103,2015,5_Bf_2015_Da,,,0
54107,2015,5_Bf_2015_Da,,,0
54095,2015,5_Bf_2015_Da,,,0
17189,2015,5_Bf_2015_Da,,,0
54023,2015,5_Bf_2015_Da,,,0
55023,2015,5_Bf_2015_Da,,,0
17039,2015,5_Bf_2015_Da,,,0
06107,2015,5_Bf_2015_Da,,,0
56033,2015,5_Bf_2015_Da,,,0
56041,2015,5_Bf_2015_Da,,,0
02188,2015,5_Bf_2015_Da,,,0
05129,2015,5_Bf_2015_Da,,,0
05103,2015,5_Bf_2015_Da,,,0
05145,2015,5_Bf_2015_Da,,,0
05011,2015,5_Bf_2015_Da,,,0
05019,2015,5_Bf_2015_Da,,,0
06067,2015,5_Bf_2015_Da,,,0
06069,2015,5_Bf_2015_Da,,,0
06005,2015,5_Bf_2015_Da,,,0
06101,2015,5_Bf_2015_Da,,,0
06113,2015,5_Bf_2015_Da,,,0
06011,2015,5_Bf_2015_Da,,,0
06063,2015,5_Bf_2015_Da,,,0
08005,2015,5_Bf_2015_Da,,,0
08013,2015,5_Bf_2015_Da,,,0
08037,2015,5_Bf_2015_Da,,,0
08053,2015,5_Bf_2015_Da,,,0
12023,2015,5_Bf_2015_Da,,,0
12055,2015,5_Bf_2015_Da,,,0
12097,2015,5_Bf_2015_Da,,,0
12013,2015,5_Bf_2015_Da,,,0
12077,2015,5_Bf_2015_Da,,,0
12125,2015,5_Bf_2015_Da,,,0
13153,2015,5_Bf_2015_Da,,,0
13121,2015,5_Bf_2015_Da,,,0
13019,2015,5_Bf_2015_Da,,,0
13181,2015,5_Bf_2015_Da,,,0
13261,2015,5_Bf_2015_Da,,,0
13009,2015,5_Bf_2015_Da,,,0
45015,2015,5_Bf_2015_Da,,,0
45075,2015,5_Bf_2015_Da,,,0
45079,2015,5_Bf_2015_Da,,,0
45027,2015,5_Bf_2015_Da,,,0
45067,2015,5_Bf_2015_Da,,,0
45031,2015,5_Bf_2015_Da,,,0
45087,2015,5_Bf_2015_Da,,,0
45061,2015,5_Bf_2015_Da,,,0
45017,2015,5_Bf_2015_Da,,,0
46111,2015,5_Bf_2015_Da,,,0
46055,2015,5_Bf_2015_Da,,,0
46075,2015,5_Bf_2015_Da,,,0
46071,2015,5_Bf_2015_Da,,,0
46041,2015,5_Bf_2015_Da,,,0
47127,2015,5_Bf_2015_Da,,,0
47107,2015,5_Bf_2015_Da,,,0
47149,2015,5_Bf_2015_Da,,,0
47035,2015,5_Bf_2015_Da,,,0
47031,2015,5_Bf_2015_Da,,,0
47045,2015,5_Bf_2015_Da,,,0
47005,2015,5_Bf_2015_Da,,,0
47105,2015,5_Bf_2015_Da,,,0
47041,2015,5_Bf_2015_Da,,,0
47081,2015,5_Bf_2015_Da,,,0
47003,2015,5_Bf_2015_Da,,,0
47029,2015,5_Bf_2015_Da,,,0
47135,2015,5_Bf_2015_Da,,,0
